Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
22633418,Seven More Languages in Seven Weeks,Bruce A. Tate,"Tate, Bruce A.","Ian Dees, Frederic Daoud, Jack Moffitt","=""1941222153""","=""9781941222157""",0,3.63,O′Reilly,Paperback,350,2014,2014,,2020/05/08,to-read,to-read (#121),to-read,,,,0,,,0,,,,,
25253435,खैयाम की मधुशाला,हरिवंश राय बच्चन [Harivansh Rai Bachchan],"Bachchan], हरिवंश राय बच्चन [Harivansh Rai",,"=""""","=""9788170284253""",0,4.11,Rajpal And Sons,Hardcover,128,,,,2017/04/08,to-read,to-read (#120),to-read,,,,0,,,0,,,,,
27845690,The Course of Love,Alain de Botton,"Botton, Alain de",,"=""0241145473""","=""9780241145470""",4,4.05,Hamish Hamilton,Hardcover,240,2016,2016,2020/04/27,2019/10/30,,,read,,,,1,,,0,,,,,
31565758,Grokking Deep Learning,Andrew W. Trask,"Trask, Andrew W.",,"=""""","=""""",0,4.24,Manning Publications,ebook,325,2017,,,2020/04/26,currently-reading,currently-reading (#6),currently-reading,,,,1,,,0,,,,,
43548327,Dive into Deep Learning,A. Zhang,"Zhang, A.","Z.C. Lipton, M. Li, A.J. Smola","=""""","=""""",0,4.29,,ebook,969,2019,,,2020/04/15,to-read,to-read (#119),to-read,,,,0,,,0,,,,,
10803540,Algorithms,Robert Sedgewick,"Sedgewick, Robert",Kevin Wayne,"=""032157351X""","=""9780321573513""",0,4.41,Addison-Wesley Professional,Hardcover,976,2011,1983,,2020/04/12,to-read,to-read (#118),to-read,,,,0,,,0,,,,,
43713,Structure and Interpretation of Computer Programs (MIT Electrical Engineering and Computer Science),Harold Abelson,"Abelson, Harold","Gerald Jay Sussman, Julie Sussman","=""0262510871""","=""9780262510875""",0,4.46,MIT Press,Paperback,657,1996,1984,,2020/04/03,currently-reading,currently-reading (#5),currently-reading,,,,1,,,0,,,,,
99950,Bhagavad Gita According to Gandhi(tr),Mahatma Gandhi,"Gandhi, Mahatma",Michael N. Nagler,"=""1893163113""","=""9781893163119""",3,4.13,Berkeley Hills Books,Paperback,245,2000,-400,2018/12/01,2017/07/27,,,read,,,,1,,,0,,,,,
6255917,Meditations,Marcus Aurelius,"Aurelius, Marcus",,"=""""","=""""",3,4.22,,Kindle Edition,240,,180,2020/04/01,2017/09/24,,,read,,,,1,,,0,,,,,
52487014,A Very Old Man with Enormous Wings,Gabriel García Márquez,"Márquez, Gabriel García",,"=""""","=""""",3,3.73,,,,,,2019/12/30,2019/12/30,,,read,,,,1,,,0,,,,,
52164916,One-Punch Man: Special Preview,ONE,"ONE, ONE",,"=""""","=""""",4,4.20,Viz,ebook,70,2015,,2019/11/19,2019/11/19,,,read,,,,1,,,0,,,,,
24072897,Deep Learning,Ian Goodfellow,"Goodfellow, Ian","Yoshua Bengio, Aaron Courville","=""""","=""""",0,4.45,The MIT Press,ebook,787,2016,,,2020/02/29,currently-reading,currently-reading (#4),currently-reading,,,,1,,,0,,,,,
40879336,Think Complexity: Complexity Science and Computational Modeling,Allen B. Downey,"Downey, Allen B.",,"=""""","=""""",4,3.89,O'Reilly Media,Kindle Edition,200,2018,2009,2020/02/18,2019/03/01,,,read,,,,1,,,0,,,,,
34141783,Hive Succinctly,Elton Stoneman,"Stoneman, Elton",,"=""1542809576""","=""9781542809573""",4,3.67,Createspace Independent Publishing Platform,Paperback,,2017,,2020/02/17,2020/01/28,,,read,"A very short introduction to Hive, with code examples and basic theory",,,1,,,0,,,,,
49164626,Feature Engineering and Selection: A Practical Approach for Predictive Models,Max Kuhn,"Kuhn, Max",Kjell Johnson,"=""1351609475""","=""9781351609470""",0,4.23,CRC Press,ebook,298,2019,,,2020/01/23,currently-reading,currently-reading (#3),currently-reading,,,,1,,,0,,,,,
45832399,Feature Engineering and Selection: A Practical Approach for Predictive Models,Max Kuhn,"Kuhn, Max",Kjell Johnson,"=""1138079227""","=""9781138079229""",0,4.23,CRC Press,Hardcover,298,2019,,,2020/01/23,to-read,to-read (#117),to-read,,,,0,,,0,,,,,
32808705,The Farmer and His Sons,Aesop,"Aesop, Aesop",,"=""""","=""""",3,3.25,,Part-In-Omnibus,,,,2019/12/31,2019/12/31,,,read,,,,1,,,0,,,,,
885505,The Tale of Johnny Town-Mouse ,Beatrix Potter,"Potter, Beatrix",,"=""072324782X""","=""9780723247821""",3,3.97,Warne,Hardcover,58,2002,1918,2019/12/31,2019/12/31,,,read,,,,1,,,0,,,,,
16002231,The Past Present and Future of JavaScript,Axel Rauschmayer,"Rauschmayer, Axel",,"=""""","=""""",3,3.58,O'Reilly Media,Kindle Edition,53,2012,2012,2019/12/31,2019/12/31,,,read,,,,1,,,0,,,,,
15711108,The Little Redis Book,Karl Seguin,"Seguin, Karl",Perry Neal,"=""""","=""""",3,3.91,,ebook,,,,2019/12/30,2019/12/30,,,read,,,,1,,,0,,,,,
43271942,Burqay,Saadat Hasan Manto,"Manto, Saadat Hasan",,"=""7778768461""","=""9787778768462""",2,2.00,,Hardcover,,,,2019/12/30,2019/12/30,,,read,,,,1,,,0,,,,,
18488465,Death Constant Beyond Love,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,"=""""","=""""",3,3.48,,,16,1972,1970,2019/12/30,2019/12/30,,,read,,,,1,,,0,,,,,
8185014,Second Variety,Philip K. Dick,"Dick, Philip K.",,"=""""","=""""",4,3.98,Librivox,Audiobook,1,2010,1953,2019/12/29,2019/12/29,,,read,,,,1,,,0,,,,,
658035,The Story of Miss Moppet,Beatrix Potter,"Potter, Beatrix",,"=""0723247900""","=""9780723247906""",2,3.89,Warne,Hardcover,34,2002,1906,2019/12/28,2019/12/28,,,read,,,,1,,,0,,,,,
28526886,Three Questions,Leo Tolstoy,"Tolstoy, Leo",,"=""""","=""""",3,3.92,OTB eBook publishing,Kindle Edition,15,2015,2004,2019/12/28,2019/12/28,,,read,,,,1,,,0,,,,,
40138871,Laurie,Stephen King,"King, Stephen",,"=""""","=""""",4,3.73,Stephen King,ebook,32,2018,2018,2019/12/28,2019/12/27,,,read,,,,1,,,0,,,,,
43355879,Tamasha ( Urdu Edition ),Saadat Hasan Manto,"Manto, Saadat Hasan",,"=""1720710643""","=""9781720710646""",3,4.00,CreateSpace Independent Publishing Platform,Paperback,88,2018,,2019/12/27,2019/12/27,,,read,,,,1,,,0,,,,,
40643467,Sahae: (Penguin Petit),Saadat Hasan Manto,"Manto, Saadat Hasan",,"=""""","=""""",4,3.67,Penguin,Kindle Edition,14,2018,,2019/12/27,2018/07/24,,,read,,,,1,,,0,,,,,
13144325,Cone Head,Stephen King,"King, Stephen",,"=""""","=""""",3,3.36,newyorker.com,ebook,1,2002,2002,,2019/12/27,,,read,Stephen King's real life story.,,,2,,,0,,,,,
13093998,Premium Harmony,Stephen King,"King, Stephen",Steve Powers,"=""""","=""""",4,3.02,The New Yorker,ebook,5,2009,2009,2019/12/27,2019/12/27,,,read,A terrifying short story !,,,1,,,0,,,,,
30557,Shooting an Elephant,George Orwell,"Orwell, George",,"=""0141187395""","=""9780141187396""",4,4.12,Penguin,Paperback,368,2003,1936,2019/11/19,2019/11/19,,,read,A short but powerful Orwell story.,,,1,,,0,,,,,
20774925,Strawberry Spring,Stephen King,"King, Stephen",,"=""""","=""""",3,3.69,,,,,,2019/11/19,2019/11/19,,,read,,,,1,,,0,,,,,
