Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
358540,The Bhagavad Gita,Eknath Easwaran,"Easwaran, Eknath",,"=""""","=""9781586380199""",4,4.13,Nilgiri Press,Paperback,294,2007,-400,2016/03/01,2015/11/30,,,read,,,,3,,,0,,,,,
39964443,Data Visualization: A Practical Introduction,Kieran Healy,"Healy, Kieran",,"=""0691181624""","=""9780691181622""",0,4.43,Princeton University Press,Paperback,272,2018,,,2019/01/21,to-read,to-read (#108),to-read,,,,0,,,0,,,,,
23265587,Rogues,George R.R. Martin,"Martin, George R.R.",Steven Saylor,"=""""","=""""",0,3.89,Bantam Books,ebook,,2014,2014,,2016/08/28,to-read,to-read (#26),to-read,,,,0,,,0,,,,,
36031421,Swarg Ki Tabahi: Super Commando Dhruv,Raj Comics,"Comics, Raj",Hindi Comics,"=""""","=""""",4,3.67,,Kindle Edition,34,2017,,2019/01/10,2018/12/31,,,read,"I was revisiting some of my childhood favourite comics. This is one of the first few comics on Dhruva, and surprisingly the story is fairly well written and the characters are introduced very well. I spent a large part of my summer vacations reading these comics, and re-reading them now still feels great !",,,1,,,0,,,,,
31138556,Homo Deus: A History of Tomorrow,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",0,4.24,Harper,Kindle Edition,450,2017,2017,,2019/01/08,to-read,to-read (#107),to-read,,,,0,,,0,,,,,
32191710,Astrophysics for People in a Hurry,Neil deGrasse Tyson,"Tyson, Neil deGrasse",,"=""0393609391""","=""9780393609394""",0,4.08,W. W. Norton  Company,Hardcover,224,2017,2017,,2019/01/01,to-read,to-read (#106),to-read,,,,0,,,0,,,,,
27311899,Democracy for Realists: Why Elections Do Not Produce Responsive Government,Christopher H. Achen,"Achen, Christopher H.",Larry M. Bartels,"=""0691169446""","=""9780691169446""",0,4.10,Princeton University Press,Hardcover,408,2016,2016,,2018/12/31,to-read,to-read (#105),to-read,,,,0,,,0,,,,,
17465439,Aadamkhoron Ka Swarg,Anupam Sinha,"Sinha, Anupam",,"=""""","=""9788184914986""",4,3.80,Raj Comics,Paperback,32,1986,,2018/12/31,2018/10/22,,,read,,,,1,,,0,,,,,
7126,The Count of Monte Cristo,Alexandre Dumas,"Dumas, Alexandre",Robin Buss,"=""0140449264""","=""9780140449266""",0,4.25,Penguin Classics,Paperback,1276,2003,1844,,2018/12/31,to-read,to-read (#104),to-read,,,,0,,,0,,,,,
15744582,Rahul Dravid: Timeless Steel,ESPN Cricinfo,"Cricinfo, ESPN",,"=""9381810788""","=""9789381810781""",4,4.28,The Walt Disney Company India Ltd,Hardcover,256,2012,2012,2018/12/29,2016/07/04,,,read,"Thanks to ESPNcricinfo for compiling this amazing collection of articles on Rahul Dravid. He is the reason I fell in love with Test cricket, and getting to know Dravid the man a wonderful experience.",,,1,,,0,,,,,
34890015,Factfulness: Ten Reasons We're Wrong About the World – and Why Things Are Better Than You Think,Hans Rosling,"Rosling, Hans","Ola Rosling, Anna Rosling Rönnlund","=""1473637465""","=""9781473637467""",4,4.36,Sceptre,Hardcover,342,2018,2018,2018/12/27,2018/07/20,,,read,,,,1,,,0,,,,,
17284577,Guns,Stephen King,"King, Stephen",,"=""""","=""""",4,4.16, Philtrum Press,Kindle Edition,25,2013,2013,2018/12/24,2018/12/24,,,read,,,,1,,,0,,,,,
51496,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,"Stevenson, Robert Louis","Vladimir Nabokov, Mervyn Peake, Théo Varlet, Patrick Horgan, Dan Chaon","=""0451528956""","=""9780451528957""",0,3.82,Signet Classics,Paperback,144,2003,1886,,2018/12/24,to-read,to-read (#103),to-read,,,,0,,,0,,,,,
1627,Brokeback Mountain,Annie Proulx,"Proulx, Annie",,"=""0743271327""","=""9780743271325""",0,3.95,Scribner,Paperback,55,2005,1997,,2018/12/24,to-read,to-read (#102),to-read,,,,0,,,0,,,,,
135479,Cat's Cradle,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0140285601""","=""9780140285604""",0,4.16,Penguin,Paperback,179,1999,1963,,2018/12/17,to-read,to-read (#101),to-read,,,,0,,,0,,,,,
33279550,How To Be Ferociously Happy: and other essays,Dushka Zapata,"Zapata, Dushka","Cocea Mihaela, Melissa Stroud","=""""","=""""",4,4.34,,Kindle Edition,193,2016,,2018/12/08,2017/12/13,,,read,,,,1,,,0,,,,,
11961425,Toba Tek Singh: Stories,Saadat Hasan Manto,"Manto, Saadat Hasan",Khalid Hasan,"=""0143416073""","=""9780143416074""",3,4.21,Penguin Books India,Paperback,160,,2008,2018/12/08,2018/12/08,,,read,,,,1,,,0,,,,,
17299542,Applied Predictive Modeling,Max Kuhn,"Kuhn, Max",Kjell Johnson,"=""1461468485""","=""9781461468486""",0,4.46,Springer,Hardcover,600,2018,2013,,2018/11/25,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
667,Anthem,Ayn Rand,"Rand, Ayn",,"=""0452281253""","=""9780452281257""",0,3.63,NAL,Paperback,105,1999,1938,,2018/11/25,to-read,to-read (#100),to-read,,,,0,,,0,,,,,
69242,Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,"Heath, Chip",Dan Heath,"=""1400064287""","=""9781400064281""",0,3.96,Random House,Hardcover,291,2007,2006,,2018/11/07,to-read,to-read (#99),to-read,,,,0,,,0,,,,,
14744694,Python for Data Analysis,Wes McKinney,"McKinney, Wes",,"=""1449319793""","=""9781449319793""",0,4.13,O'Reilly Media,Paperback,400,2012,2011,,2018/11/07,to-read,to-read (#98),to-read,,,,0,,,0,,,,,
32829,"Journey to the Center of the Earth (Extraordinary Voyages, #3)",Jules Verne,"Verne, Jules",,"=""0553213970""","=""9780553213973""",0,3.86,Bantam,Paperback,240,2006,1864,,2018/11/07,to-read,to-read (#97),to-read,,,,0,,,0,,,,,
33507,"Twenty Thousand Leagues Under the Sea (Extraordinary Voyages, #6)",Jules Verne,"Verne, Jules",Anthony Bonner,"=""076072850X""","=""9780760728505""",0,3.89,Barnes & Noble,Hardcover,394,2002,1870,,2018/11/07,to-read,to-read (#96),to-read,,,,0,,,0,,,,,
41215412,"Flexible Imputation of Missing Data, Second Edition (Chapman & Hall/CRC Interdisciplinary Statistics)",Stef van Buuren,"Buuren, Stef van",,"=""""","=""""",0,4.50,Chapman and Hall/CRC,Kindle Edition,444,2018,,,2018/10/28,to-read,to-read (#95),to-read,,,,0,,,0,,,,,
35683307,Roman Hatyara: Super Commando Dhruv,Raj Comics,"Comics, Raj",Hindi Comics,"=""""","=""""",4,4.08,,Kindle Edition,34,2017,,2018/10/22,2018/10/22,,,read,,,,1,,,0,,,,,
840,The Design of Everyday Things,Donald A. Norman,"Norman, Donald A.",,"=""0465067107""","=""9780465067107""",0,4.16,Basic Books,Paperback,240,2002,1988,,2018/09/27,to-read,to-read (#94),to-read,,,,0,,,0,,,,,
1420,Hamlet,William Shakespeare,"Shakespeare, William","Harold Bloom, Rex Gibson","=""0521618746""","=""9780521618748""",0,4.02,Cambridge University Press,Paperback,289,2005,1603,,2018/09/27,to-read,to-read (#93),to-read,,,,0,,,0,,,,,
15760705,Data Jujitsu: The Art of Turning Data into Product,D.J. Patil,"Patil, D.J.",,"=""""","=""""",4,3.78,O'reilly,ebook,24,2012,2012,2018/09/17,2018/09/14,,,read,"Some useful advice from an experienced data scientist. The book was Okay overall, but I gave it an extra star because it's free.",,,1,,,0,,,,,
22967424,Data Science at the Command Line: Facing the Future with Time-Tested Tools,Jeroen Janssens,"Janssens, Jeroen",,"=""1491947853""","=""9781491947852""",3,3.83,O'Reilly Media,Paperback,212,2014,2014,2018/09/15,2018/07/24,,,read,"I used this book as more of a guide to get familiar with the regular command line workflow. I find IDEs a much better tool for data science than a command line, as it's replroducible. But nice to know some shortcuts available in bash scripts.",,,1,,,0,,,,,
7184066,Fault Lines: How Hidden Fractures Still Threaten the World Economy,Raghuram G. Rajan,"Rajan, Raghuram G.",,"=""0691146837""","=""9780691146836""",0,4.11,Princeton University Press,Hardcover,260,2010,2010,,2018/09/06,to-read,to-read (#92),to-read,,,,0,,,0,,,,,
485894,The Metamorphosis,Franz Kafka,"Kafka, Franz","Stanley Corngold, Mircea Ivănescu","=""""","=""""",3,3.82,Bantam Classics,Paperback,201,1972,1915,2018/09/05,2018/07/30,,,read,Wierd but powerful allegory,,,1,,,0,,,,,
441270,Foucault in 90 Minutes,Paul Strathern,"Strathern, Paul",,"=""1566632935""","=""9781566632935""",0,3.38,Ivan R. Dee Publisher,Paperback,95,2000,2000,,2018/09/05,to-read,to-read (#91),to-read,,,,0,,,0,,,,,
34006736,Text Mining with R: A Tidy Approach,Julia Silge,"Silge, Julia",David Robinson,"=""1491981652""","=""9781491981658""",4,4.28,O'Reilly Media,Paperback,194,2017,,2018/09/05,2018/06/27,,,read,I found this book fairly useful to do sentiment analyis and topic modelling using the faimiliar tidyverse tools.,,,1,,,0,,,,,
32547603,R for Data Science,Hadley Wickham,"Wickham, Hadley",,"=""""","=""""",5,4.60,O'Reilly,ebook,250,2016,2016,2018/07/06,2018/01/03,,,read,Tidyverse is simply amazing and this book gives you a clear path start using it in your projects,,,1,,,0,,,,,
12742641,प्रतिशोध की ज्वाला [Pratishidh Ki Jwala],Anupam Sinha,"Sinha, Anupam",,"=""""","=""9788184914801""",4,4.04,Raj Comics,Paperback,32,1986,,2018/08/16,2018/08/16,,,read,,,,1,,,0,,,,,
28955327,Developing Data Products in R,Brian Caffo,"Caffo, Brian",,"=""""","=""""",3,3.67,LearnPub,ebook,52,2015,,2018/07/31,2018/07/31,,,read,,,,1,,,0,,,,,
3894959,The Golden Bird,Jacob Grimm,"Grimm, Jacob","Wilhelm Grimm, William B. Jones Jr.","=""0854100105""","=""9780854100101""",4,3.39,,ebook,32,,1812,2018/07/28,2018/07/28,,,read,,,,1,,,0,,,,,
22437719,काली सलवार,Saadat Hasan Manto,"Manto, Saadat Hasan",,"=""8181070348""","=""9788181070340""",3,3.90,Vishwa Pustak Kendra,Hardcover,183,2010,2010,2018/07/28,2018/07/24,,,read,,,,1,,,0,,,,,
20642794,Thanda Gosht / ٹھنڈا گوشت,سعادت حسن منٹو,"منٹو, سعادت حسن",Saadat Hasan Manto,"=""969352098X""","=""""",3,4.06,Sang-e-Meel Publications,Hardcover,80,2008,1950,2018/07/26,2018/07/26,,,read,,,,1,,,0,,,,,
1309285,Batman: Black and White #1,Mark Chiarello,"Chiarello, Mark","Ted McKeever, Bruce Timm, Joe Kubert, Howard Chaykin, Archie Goodwin, José Muñoz, Walter Simonson, Jan Strnad, Richard Corben, Kent Williams, Chuck Dixon, Jorge Zaffino, Neil Gaiman, Simon Bisley, Klaus Janson, Andy Helfer, Tanino Liberatore, Matt Wagner, Bill Sienkiewicz, Dennis O'Neil, Teddy Kristiansen, Brian Bolland, Kevin Nowlan, Gary Gianni, Brian Stelfreeze, Katsuhiro Otomo, Jo Duffy","=""1563894394""","=""9781563894398""",0,4.05,DC Comics,Paperback,222,2000,1998,,2018/07/25,to-read,to-read (#90),to-read,,,,0,,,0,,,,,
107017,"Batman: Hush, Vol. 1",Jeph Loeb,"Loeb, Jeph","Jim Lee, Scott Williams","=""1401200605""","=""9781401200602""",0,4.08,DC Comics,Paperback,121,2004,2002,,2018/07/25,to-read,to-read (#89),to-read,,,,0,,,0,,,,,
29579,"Foundation (Foundation, #1)",Isaac Asimov,"Asimov, Isaac",,"=""0553803719""","=""9780553803716""",0,4.17,Bantam,Hardcover,244,2004,1951,,2018/07/25,to-read,to-read (#88),to-read,,,,0,,,0,,,,,
36630417,Boo,Saadat Hasan Manto,"Manto, Saadat Hasan",,"=""""","=""""",4,3.30,,,,,,2018/07/25,2018/07/24,,,read,,,,1,,,0,,,,,
157993,The Little Prince,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de","Richard Howard, Ivan Minatti, Nguyễn Thành Vũ","=""""","=""""",3,4.31,"Harcourt, Inc.",Paperback,93,2000,1943,2018/07/24,2016/10/14,,,read,,,,1,,,0,,,,,
920649,An Occurrence at Owl Creek Bridge,Ambrose Bierce,"Bierce, Ambrose",,"=""0874068134""","=""9780874068139""",0,4.03,St. Petersburg,ebook,36,1996,1890,,2018/06/29,to-read,to-read (#87),to-read,,,,0,,,0,,,,,
13707645,The Illicit Happiness of Other People,Manu Joseph,"Joseph, Manu",,"=""0393338622""","=""9780393338621""",0,4.08,W. W. Norton  Company,Paperback,352,2013,2012,,2018/06/27,to-read,to-read (#86),to-read,,,,0,,,0,,,,,
7628608,Serious Men,Manu Joseph,"Joseph, Manu",,"=""0393338592""","=""9780393338591""",0,3.75,W. W. Norton  Company,Paperback,320,2010,2010,,2018/06/27,to-read,to-read (#85),to-read,,,,0,,,0,,,,,
35620555,"Miss Laila, Armed and Dangerous",Manu Joseph,"Joseph, Manu",,"=""9352770447""","=""9789352770441""",0,3.65,Fourth Estate,Hardcover,216,2017,2017,,2018/06/27,to-read,to-read (#84),to-read,,,,0,,,0,,,,,
148009,"The Elements of Statistical Learning: Data Mining, Inference, and Prediction",Trevor Hastie,"Hastie, Trevor","Robert Tibshirani, Jerome Friedman","=""0387952845""","=""9780387952840""",0,4.39,Springer,Hardcover,552,2003,2001,,2018/06/26,to-read,to-read (#83),to-read,,,,0,,,0,,,,,
17397466,An Introduction to Statistical Learning: With Applications in R,Gareth James,"James, Gareth","Trevor Hastie, Robert Tibshirani, Daniela Witten","=""1461471370""","=""9781461471370""",0,4.61,Springer,Hardcover,426,2017,2013,,2018/06/26,to-read,to-read (#82),to-read,,,,0,,,0,,,,,
71728,Jonathan Livingston Seagull,Richard Bach,"Bach, Richard",Russell Munson,"=""0743278909""","=""9780743278904""",4,3.84,Scribner,Paperback,112,2006,1970,2018/06/23,2018/06/23,,,read,,,,1,,,0,,,,,
32328178,Yachts and Things,Truman Capote,"Capote, Truman",Victor Bevine,"=""""","=""""",3,3.09,Audible Studios,Audible Audio,1,2013,2004,2018/06/19,2018/06/19,,,read,,,,1,,,0,,,,,
52036,Siddhartha,Hermann Hesse,"Hesse, Hermann",Hilda Rosner,"=""""","=""""",0,4.03,Bantam Books,Mass Market Paperback,152,1981,1922,,2018/06/19,to-read,to-read (#81),to-read,,,,0,,,0,,,,,
38435528,"The Free Voice: On Democracy, Culture and the Nation",Ravish Kumar,"Kumar, Ravish",,"=""9387164780""","=""9789387164789""",0,4.18,Speaking Tiger Books,Hardcover,176,2018,2018,,2018/05/27,to-read,to-read (#80),to-read,,,,0,,,0,,,,,
17138265,R Graphics Cookbook: Practical Recipes for Visualizing Data,Winston Chang,"Chang, Winston",,"=""1449363113""","=""9781449363116""",0,4.25,O'Reilly Media,ebook,416,2012,2012,,2018/05/24,to-read,to-read (#79),to-read,,,,0,,,0,,,,,
30627768,ggplot2: Elegant Graphics for Data Analysis,Hadley Wickham,"Wickham, Hadley",,"=""""","=""""",0,4.32,Springer,ebook,281,2016,2009,,2018/01/03,to-read,to-read (#71),to-read,,,,0,,,0,,,,,
584637,Utilitarianism,John Stuart Mill,"Mill, John Stuart",George Sher,"=""087220605X""","=""9780872206052""",0,3.66,Hackett Publishing Company,Paperback,71,2002,1861,,2018/05/24,to-read,to-read (#78),to-read,,,,0,,,0,,,,,
436982,Notes from the Underground,Fyodor Dostoyevsky,"Dostoyevsky, Fyodor",Constance Garnett,"=""""","=""""",0,4.15,Dover Publications,Paperback,96,1992,1864,,2018/05/24,to-read,to-read (#77),to-read,,,,0,,,0,,,,,
752704,The Time Machine,H.G. Wells,"Wells, H.G.",,"=""0486284727""","=""9780486284729""",0,3.89,Dover Publications,Paperback,80,1995,1895,,2018/05/24,to-read,to-read (#76),to-read,,,,0,,,0,,,,,
15783514,The Ocean at the End of the Lane,Neil Gaiman,"Gaiman, Neil",,"=""0062255657""","=""9780062255655""",0,4.00,William Morrow Books,Hardcover,181,2013,2013,,2018/05/24,to-read,to-read (#75),to-read,,,,0,,,0,,,,,
23731881,Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination,J.K. Rowling,"Rowling, J.K.",Joel Holland,"=""0316369152""","=""9780316369152""",0,4.18,"Little, Brown and Company",Hardcover,74,2015,2015,,2018/05/24,to-read,to-read (#74),to-read,,,,0,,,0,,,,,
1497534,"Gin Tama, Vol. 1 (Gin Tama, #1)",Hideaki Sorachi,"Sorachi, Hideaki",,"=""1421513587""","=""9781421513584""",4,4.13,VIZ Media LLC,Paperback,216,2007,2004,2018/05/06,2018/05/06,,,read,"I'd already watched the anime a few years, but still reading the manga brought back all the fun memories. Gintama is fun as always !!",,,1,,,0,,,,,
18136206,Sarkandon Ke Peeche / سرکنڈوں کے پیچھے,سعادت حسن منٹو,"منٹو, سعادت حسن",Saadat Hasan Manto,"=""9693520998""","=""""",4,4.07,"Sang-e-Meel Publications, Lahore",Hardcover,,2008,,2018/03/16,2018/03/15,,,read,,,,1,,,0,,,,,
32505087,Machine Learning,Ethem Alpaydin,"Alpaydin, Ethem",,"=""""","=""""",3,3.59,The MIT Press,Kindle Edition,224,2016,,2018/02/17,2017/12/06,,,read,,,,1,,,0,,,,,
119561,The Order of Things: An Archaeology of the Human Sciences,Michel Foucault,"Foucault, Michel",,"=""0679753354""","=""9780679753353""",0,4.13,Vintage,Paperback,416,1994,1966,,2018/02/11,to-read,to-read (#73),to-read,,,,0,,,0,,,,,
29496453,The Book of Joy: Lasting Happiness in a Changing World,Dalai Lama XIV,"XIV, Dalai Lama","Desmond Tutu, Douglas Carlton Abrams","=""0399185046""","=""9780399185045""",4,4.37,Avery,Hardcover,354,2016,2016,2018/01/28,2017/06/26,,,read,,,,1,,,0,,,,,
2895911,The Bet,Anton Chekhov,"Chekhov, Anton",,"=""0895986841""","=""9780895986849""",4,4.10,,ebook,48,,1889,2018/01/15,2018/01/09,,,read,A very deep and twisted short story.,,,1,,,0,,,,,
6349644,The Model Millionaire,Oscar Wilde,"Wilde, Oscar",,"=""006177376X""","=""9780061773761""",3,3.72,Harper Perennial,Paperback,224,2009,1887,2018/01/10,2018/01/09,,,read,,,,1,,,0,,,,,
37775335,My Bed is a Blackhole,Hadley  Wickham,"Wickham, Hadley",,"=""""","=""""",0,4.43,The Book Guild,Kindle Edition,198,2017,,,2018/01/03,to-read,to-read (#72),to-read,,,,0,,,0,,,,,
238953,Das Kapital,Karl Marx,"Marx, Karl","Friedrich Engels, Serge L. Levitsky","=""089526711X""","=""9780895267115""",0,3.86,Gateway Editions,Paperback,356,1996,1867,,2018/01/02,to-read,to-read (#70),to-read,,,,0,,,0,,,,,
23878,Chronicle of a Death Foretold,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,"=""140003471X""","=""9781400034710""",4,3.97,Vintage,Paperback,120,2003,1981,2017/12/31,2017/12/25,,,read,,,,1,,,0,,,,,
22103881,The New One Minute Manager,Kenneth H. Blanchard,"Blanchard, Kenneth H.",Spencer Johnson,"=""0062367544""","=""9780062367549""",3,3.92,William Morrow,Hardcover,112,2015,2015,2017/12/25,2017/12/22,,,read,,,,1,,,0,,,,,
19166693,Wisdom Of Insecurity: A Message for an Age of Anxiety,Alan W. Watts,"Watts, Alan W.",,"=""""","=""""",4,4.20,Ebury Digital,Kindle Edition,155,2012,1951,2017/11/18,2017/10/08,,,read,,,,1,,,0,,,,,
25862145,Archie (2015-) #1,Mark Waid,"Waid, Mark","Fiona Staples, Annie Wu, Veronica Fish, Andre Szymanowicz, Jack Morelli","=""""","=""""",3,4.01,Archie Comics,issue,32,2015,2015,2017/11/15,2017/11/13,,,read,,,,1,,,0,,,,,
7885808,The Black Cat,Edgar Allan Poe,"Poe, Edgar Allan",,"=""""","=""""",4,4.05,Feedbooks,ebook,15,,1840,2017/11/05,2017/11/04,,,read,,,,1,,,0,,,,,
17282187,The Library of Unrequited Love,Sophie Divry,"Divry, Sophie",Siân Reynolds,"=""0857051415""","=""9780857051417""",0,3.18,Maclehose Press,Hardcover,95,2013,2010,,2017/11/04,to-read,to-read (#69),to-read,,,,0,,,0,,,,,
23267242,The Strange Library,Haruki Murakami,"Murakami, Haruki",Ted Goossen,"=""1846559219""","=""9781846559211""",0,3.56,Harvill Secker,Hardcover,77,2014,2001,,2017/11/04,to-read,to-read (#68),to-read,,,,0,,,0,,,,,
8933944,"Harry Potter: The Prequel (Harry Potter, #0.5)",J.K. Rowling,"Rowling, J.K.",,"=""1156923441""","=""9781156923443""",0,4.18,Books LLC,ebook,4,2008,2008,,2017/11/04,to-read,to-read (#67),to-read,,,,0,,,0,,,,,
10444081,Fantastic Mr Fox,Roald Dahl,"Dahl, Roald",,"=""0141333200""","=""9780141333205""",0,4.06,Puffin,Hardcover,96,2010,1970,,2017/11/04,to-read,to-read (#66),to-read,,,,0,,,0,,,,,
591189,The Rocking Horse Winner (Travelman Classics),D.H. Lawrence,"Lawrence, D.H.",,"=""1860920071""","=""9781860920073""",0,3.85,,Unknown Binding,22,1998,1926,,2017/11/04,to-read,to-read (#65),to-read,,,,0,,,0,,,,,
7788784,The Cask of Amontillado,Edgar Allan Poe,"Poe, Edgar Allan",,"=""""","=""""",0,4.09,Feedbooks,ebook,10,,1846,,2017/11/04,to-read,to-read (#64),to-read,,,,0,,,0,,,,,
17563539,The Egg,Andy Weir,"Weir, Andy",,"=""""","=""""",5,4.19,Andy Weir / Galactanet,ebook,3,2009,2009,2017/11/04,2017/11/04,,,read,,,,1,,,0,,,,,
26025580,The Grownup,Gillian Flynn,"Flynn, Gillian",,"=""0804188971""","=""9780804188975""",0,3.56,Crown,Hardcover,64,2015,2014,,2017/11/04,to-read,to-read (#63),to-read,,,,0,,,0,,,,,
22477756,Machine Learning: A Probabilistic Perspective,Kevin P. Murphy,"Murphy, Kevin P.",,"=""0262305240""","=""9780262305242""",0,4.36,The MIT Press,ebook,1098,2014,2012,,2017/10/26,to-read,to-read (#62),to-read,,,,0,,,0,,,,,
12633800,Models: Attract Women Through Honesty,Mark Manson,"Manson, Mark",,"=""1463750358""","=""9781463750350""",4,4.38,Createspace Independent Publishing Platform,Paperback,246,2011,2011,,2017/04/04,,,read,,,,1,,,0,,,,,
16115612,And the Mountains Echoed,Khaled Hosseini,"Hosseini, Khaled",,"=""159463176X""","=""9781594631764""",4,4.05,Riverhead Books,Hardcover,404,2013,2012,2017/10/19,2017/07/05,,,read,,,,1,,,0,,,,,
30341122,Executive Data Science,Brian Caffo,"Caffo, Brian","Roger D. Peng, Jeffrey Leek","=""""","=""""",3,3.53,Leanpub,ebook,151,,,2017/10/17,2017/09/13,,,read,,,,1,,,0,,,,,
31120837,Conversations on Data Science,Roger D. Peng,"Peng, Roger D.",,"=""""","=""""",4,3.12,Leanpub,ebook,72,2016,,2017/09/28,2017/09/20,,,read,,,,1,,,0,,,,,
15748649,The Honest Thief,Fyodor Dostoyevsky,"Dostoyevsky, Fyodor",,"=""""","=""""",3,3.50,,,,,1848,2015/04/24,2015/04/24,,,read,"This appears to be a very simple short story at first. However, it has a deeper meaning revolving around the emotional transformation of the narrator. The narrator is shown to be aloof and emotionally distant in the beginning. But through his interactions with Astafy, he seems to have developed empathy for human emotions, which leads to him narrating the story. Otherwise, there would have been no point in introducing the short plot before Astafy and Emelyan's story. I think the author wanted to imply that Astafy was able to change narrator's heart and bring him out of his shell. The narrator has been living alone for years which has made emotionally numb. However, the story of Astafy did something to the narrator which made him tell us the story. ",,,1,,,0,,,,,
18820247,Shakuntala,Kālidāsa,"Kālidāsa, Kālidāsa",,"=""147517246X""","=""9781475172461""",0,3.85,Createspace Independent Publishing Platform,Paperback,128,2012,350,,2015/10/30,to-read,to-read (#16),to-read,,,,0,,,0,,,,,
1424760,Straight From The Heart: An Autobiography,Kapil Dev,"Dev, Kapil",,"=""1403922276""","=""9781403922274""",0,3.63,MacMillan,Hardcover,,2004,2004,,2016/11/06,to-read,to-read (#61),to-read,,,,0,,,0,,,,,
18668059,The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph,Ryan Holiday,"Holiday, Ryan",,"=""1591846358""","=""9781591846352""",4,4.16,Portfolio,Hardcover,201,2014,2014,2017/09/20,2017/02/13,,,read,Really good. One of my favourites along with the author's Ego is the Enemy.,,,2,,,0,,,,,
1319,The War of Art: Break Through the Blocks & Win Your Inner Creative Battles,Steven Pressfield,"Pressfield, Steven",Robert McKee,"=""0446691437""","=""9780446691437""",0,4.00,Warner Books,Paperback,168,2003,2002,,2017/09/20,to-read,to-read (#60),to-read,,,,0,,,0,,,,,
11375457,Infinite Vision: How Aravind Became the World's Greatest Business Case for Compassion,Pavithra K. Mehta,"Mehta, Pavithra K.",Suchitra Shenoy,"=""1605099791""","=""9781605099798""",0,4.29,Berrett-Koehler Publishers,Paperback,336,2011,2011,,2016/09/11,to-read,to-read (#59),to-read,,,,0,,,0,,,,,
8163722,Earth (The Book): A Visitor's Guide to the Human Race,Jon   Stewart,"Stewart, Jon","Rory Albanese, Kevin Bleyer, Rich Bloomquist, Steve Bodow, Tim Carvell, Wyatt Cenac, Hallie Haglund, J.R. Havlan, David Javerbaum, Elliott Kalan, Josh Lieb, Sam Means, Jo Miller, John Oliver, Daniel Radosh, Jason Ross","=""044657922X""","=""9780446579223""",0,3.91,Grand Central Publishing,Hardcover,246,2010,2010,,2017/07/15,to-read,to-read (#58),to-read,,,,0,,,0,,,,,
33220029,कंकाल,जयशंकर प्रसाद,"प्रसाद, जयशंकर",Jaishankar Prasad,"=""""","=""""",4,4.01,Public Domain Books,Kindle Edition,290,,,2017/07/13,2017/06/28,,,read,,,,1,,,0,,,,,
17986418,Naked Statistics: Stripping the Dread from the Data,Charles Wheelan,"Wheelan, Charles",,"=""039334777X""","=""9780393347777""",4,3.94,W. W. Norton  Company,Paperback,282,2014,2012,2017/07/04,2017/02/25,,,read,,,,1,,,0,,,,,
109299,"Khushwant Singh On Women, Love & Lust",Khushwant Singh,"Singh, Khushwant",,"=""8187478403""","=""9788187478409""",3,3.53,Books Today,Paperback,206,2002,2002,2016/02/24,2017/06/26,,,read,,,,1,,,0,,,,,
18085474,The Book of Forgiving: The Fourfold Path for Healing Ourselves and Our World,Desmond Tutu,"Tutu, Desmond",Mpho Tutu,"=""0062203568""","=""9780062203564""",0,4.11,HarperOne,Hardcover,230,2014,2013,,2017/06/26,to-read,to-read (#57),to-read,,,,0,,,0,,,,,
11041,Delta of Venus,Anaïs Nin,"Nin, Anaïs",,"=""1579125743""","=""9781579125745""",2,3.62,Black Dog & Leventhal Publishers,Hardcover,271,2006,1969,2015/05/10,2017/06/25,,,read,,,,1,,,0,,,,,
10818853,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,"James, E.L.",,"=""1612130291""","=""9781612130293""",2,3.66,Vintage,Paperback,356,2011,2011,2016/01/10,2017/06/25,,,read,,,,1,,,0,,,,,
5805,V for Vendetta,Alan Moore,"Moore, Alan",David   Lloyd,"=""1401207928""","=""9781401207922""",4,4.25,Vertigo,Hardcover,296,2005,1990,2017/06/25,2016/03/06,,,read,,,,1,,,0,,,,,
33270903,Tarkash (Hindi),Javed Akhtar,"Akhtar, Javed",,"=""""","=""""",4,4.16,Rajkamal Prakashan,Kindle Edition,166,,1995,2017/06/16,2017/04/05,,,read,,,,1,,,0,,,,,
2549408,The Grammar of Graphics,Leland Wilkinson,"Wilkinson, Leland",,"=""0387245448""","=""9780387245447""",0,4.14,Springer,Hardcover,691,2005,1999,,2017/05/24,to-read,to-read (#56),to-read,,,,0,,,0,,,,,
